key,buy_high_min,buy_high_max,sector_high_min,sector_high_max,volume_z_min,fear_lookback,fear_threshold,volume_lookback,low_count_min,arm_window,exit_atr,max_positions,sectors,in_signals,in_median,in_mdd,in_calmar,out_median,out_mdd,out_calmar,win_pct
h13_z0.0_f5_p8,1,3,2,2,0.0,5,40.0,20,9,0,2.0,8,default54,880,2.27,-36.76,0.025,-12.27,-19.98,-0.519,51.02
h13_z0.0_f5_p10,1,3,2,2,0.0,5,40.0,20,9,0,2.0,10,default54,880,1.51,-35.26,0.017,-12.11,-17.87,-0.572,51.02
h13_z0.5_f1_p5,1,3,2,2,0.5,1,40.0,20,9,0,2.0,5,default54,154,11.41,-39.24,0.113,-5.68,-22.91,-0.208,55.84
h13_z0.5_f1_p8,1,3,2,2,0.5,1,40.0,20,9,0,2.0,8,default54,154,15.14,-36.45,0.16,-8.56,-21.92,-0.329,55.84
h13_z0.5_f1_p10,1,3,2,2,0.5,1,40.0,20,9,0,2.0,10,default54,154,16.4,-34.99,0.18,-11.78,-23.4,-0.425,55.84
h13_z0.5_f3_p5,1,3,2,2,0.5,3,40.0,20,9,0,2.0,5,default54,575,-6.56,-39.66,-0.068,-10.98,-21.98,-0.421,50.43
h13_z0.5_f3_p8,1,3,2,2,0.5,3,40.0,20,9,0,2.0,8,default54,575,-8.38,-36.44,-0.095,-14.73,-20.96,-0.595,50.43
h13_z0.5_f3_p10,1,3,2,2,0.5,3,40.0,20,9,0,2.0,10,default54,575,-7.21,-36.87,-0.08,-10.7,-18.3,-0.493,50.43
h13_z0.5_f5_p5,1,3,2,2,0.5,5,40.0,20,9,0,2.0,5,default54,762,-6.15,-38.72,-0.065,-13.08,-22.41,-0.493,49.48
h13_z0.5_f5_p8,1,3,2,2,0.5,5,40.0,20,9,0,2.0,8,default54,762,-10.02,-35.21,-0.118,-8.84,-13.38,-0.556,49.48
