index_code,metric,side,events,mean_5d,mean_10d,mean_20d,positive_20d
931743.CSI,high7_9_share,high,28,-0.016267883,-0.033219777,-0.048323173,0.39285714285714285
931743.CSI,high7_9_weighted,high,24,-0.026691409,-0.045270015,-0.05093232,0.375
931743.CSI,high9_share,high,27,-0.027227385,-0.05010967,-0.06251207,0.3333333333333333
931743.CSI,low7_9_share,low,29,0.007960038,0.011719954,0.033983603,0.6206896551724138
931743.CSI,low7_9_weighted,low,29,0.0028642705,-0.010578532,0.009485814,0.5172413793103449
931743.CSI,low9_share,low,32,0.002344139,-0.008500682,0.017945532,0.53125
931752.CSI,high7_9_share,high,23,-0.010193682,-0.008062873,-0.013596496,0.34782608695652173
931752.CSI,high7_9_weighted,high,22,-0.007912422,-0.010400918,-0.014210343,0.4090909090909091
931752.CSI,high9_share,high,31,-0.013469781,-0.012536168,-0.01737822,0.3870967741935484
931752.CSI,low7_9_share,low,19,-0.003923805,0.002702142,0.0034914957,0.5263157894736842
931752.CSI,low7_9_weighted,low,18,0.0006334351,-0.000767986,0.002358238,0.4444444444444444
931752.CSI,low9_share,low,24,0.0026010573,0.0102694435,0.011795011,0.5833333333333334
931775.CSI,high7_9_share,high,19,-0.01791937,0.0007834874,0.018750325,0.5789473684210527
931775.CSI,high7_9_weighted,high,20,-0.018697063,-0.0039395513,0.017934721,0.6
931775.CSI,high9_share,high,23,-0.008555687,-0.0038851188,0.014626417,0.6086956521739131
931775.CSI,low7_9_share,low,22,0.0035474652,0.0023522647,0.012367595,0.45454545454545453
931775.CSI,low7_9_weighted,low,24,7.0633985e-05,-0.0022784744,0.005096659,0.5416666666666666
931775.CSI,low9_share,low,28,-0.0011190644,0.0023594839,0.024940306,0.42857142857142855
931994.CSI,high7_9_share,high,18,-0.008688416,-0.008201672,-0.003289302,0.6666666666666666
931994.CSI,high7_9_weighted,high,17,-0.006471655,-0.010959113,-0.0030880184,0.47058823529411764
931994.CSI,high9_share,high,20,-0.009776679,-0.018864632,-0.020458076,0.45
931994.CSI,low7_9_share,low,13,0.009626348,0.01733574,0.024184529,0.6153846153846154
931994.CSI,low7_9_weighted,low,10,0.004298127,-0.0033506393,-0.014890927,0.5
931994.CSI,low9_share,low,15,0.013603675,0.017136391,0.012561551,0.6
980022.SZ,high7_9_share,high,24,-0.0010010973,-0.008063185,-0.0029905562,0.4166666666666667
980022.SZ,high7_9_weighted,high,24,-0.0018931677,-0.0064398125,-0.006855992,0.4166666666666667
980022.SZ,high9_share,high,33,0.0019476395,-0.001970779,-0.0014461478,0.5151515151515151
980022.SZ,low7_9_share,low,31,2.3884159e-05,0.008441237,0.012027739,0.41935483870967744
980022.SZ,low7_9_weighted,low,31,-0.009827946,-0.014675979,0.0068242317,0.4838709677419355
980022.SZ,low9_share,low,41,-0.008637628,-0.011741415,-0.0037372548,0.4146341463414634
980028.SZ,high7_9_share,high,18,-0.010582851,-0.0070441565,-0.008679678,0.4444444444444444
980028.SZ,high7_9_weighted,high,15,-0.009030334,-0.0025203547,-0.0015006582,0.5333333333333333
980028.SZ,high9_share,high,29,-0.0048959767,0.0016469215,0.010589427,0.5517241379310345
980028.SZ,low7_9_share,low,21,0.0060510268,-0.0010109771,-0.0003053773,0.6190476190476191
980028.SZ,low7_9_weighted,low,22,0.007160612,0.00824106,0.004557352,0.5909090909090909
980028.SZ,low9_share,low,31,0.004777612,-0.0050031026,-0.0030684029,0.4838709677419355
H30171.CSI,high7_9_share,high,11,-0.0128927175,-0.0016649257,-0.006826455,0.36363636363636365
H30171.CSI,high7_9_weighted,high,7,-0.013281473,-0.0037184614,-0.006508929,0.42857142857142855
H30171.CSI,high9_share,high,17,-0.0024425527,0.00700018,0.010902335,0.5882352941176471
H30171.CSI,low7_9_share,low,17,0.018161606,0.017978843,0.02934303,0.6470588235294118
H30171.CSI,low7_9_weighted,low,16,0.009690031,0.018733662,0.030248139,0.5625
H30171.CSI,low9_share,low,20,0.0064529865,0.009423828,0.014163467,0.5
H30184.CSI,high7_9_share,high,29,-0.012542932,-0.024288692,-0.027152833,0.4482758620689655
H30184.CSI,high7_9_weighted,high,28,-0.015702145,-0.016824257,-0.039358027,0.42857142857142855
H30184.CSI,high9_share,high,31,-0.029070782,-0.03157487,-0.029964142,0.5161290322580645
H30184.CSI,low7_9_share,low,30,-0.004982716,-0.007996349,0.022024902,0.5333333333333333
