index_code,trade_date,index_close,eligible_members,low9_share,high9_share,low7_9_share,high7_9_share,low9_weighted,high9_weighted,low7_9_weighted,high7_9_weighted
930618.CSI,2020-02-10,2168.9358,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-02-11,2181.995,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-02-12,2193.4392,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-02-13,2176.1785,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-02-14,2187.1572,20,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.01524999992519617
930618.CSI,2020-02-17,2239.8523,20,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.05705000104123355
930618.CSI,2020-02-18,2227.316,20,0.0,0.05,0.0,0.25,0.0,0.01524999992519617,0.0,0.06990000084531309
930618.CSI,2020-02-19,2229.398,20,0.0,0.15,0.0,0.2,0.0,0.04180000111603738,0.0,0.05465000092011691
930618.CSI,2020-02-20,2284.0825,20,0.0,0.05,0.0,0.05,0.0,0.012849999804079531,0.0,0.012849999804079531
930618.CSI,2020-02-21,2281.437,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-02-24,2247.8962,20,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.13442999864801167
930618.CSI,2020-02-25,2222.4683,20,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.059270001093661796
930618.CSI,2020-02-26,2212.361,20,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03630000153386594
930618.CSI,2020-02-27,2212.4272,20,0.0,0.15,0.0,0.15,0.0,0.03630000153386594,0.0,0.03630000153386594
930618.CSI,2020-02-28,2125.2397,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-03-02,2182.3108,20,0.0,0.0,0.05,0.0,0.0,0.0,0.29629999231410026,0.0
930618.CSI,2020-03-03,2177.885,20,0.0,0.0,0.15,0.0,0.0,0.0,0.5588899923774957,0.0
930618.CSI,2020-03-04,2197.715,20,0.0,0.0,0.25,0.0,0.0,0.0,0.5061800074724674,0.0
930618.CSI,2020-03-05,2256.6006,20,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.02741999990324974
930618.CSI,2020-03-06,2209.7725,20,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.014689999853825568
930618.CSI,2020-03-09,2113.146,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-03-10,2154.7485,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-03-11,2118.0283,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-03-12,2083.6555,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-03-13,2039.2281,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-03-16,1953.5776,20,0.0,0.0,0.3,0.0,0.0,0.0,0.09207000039117337,0.0
930618.CSI,2020-03-17,1945.9478,20,0.0,0.0,0.7,0.0,0.0,0.0,0.9081799993710041,0.0
930618.CSI,2020-03-18,1905.8271,20,0.3,0.0,0.75,0.0,0.09207000039117337,0.0,0.9205599997533799,0.0
930618.CSI,2020-03-19,1861.675,20,0.4,0.0,0.5,0.0,0.8161099989798307,0.0,0.8404199989805698,0.0
930618.CSI,2020-03-20,1894.5164,20,0.05,0.0,0.15,0.0,0.012380000382375718,0.0,0.03455000051152706,0.0
930618.CSI,2020-03-23,1829.0192,20,0.05,0.0,0.1,0.0,0.01192999961836338,0.0,0.022170000129151345,0.0
930618.CSI,2020-03-24,1897.8344,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-03-25,1959.912,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-03-26,1938.3331,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-03-27,1933.473,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-03-30,1912.0304,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-03-31,1902.218,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-04-01,1894.1191,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-04-02,1916.2535,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-04-03,1892.4128,20,0.0,0.0,0.15,0.0,0.0,0.0,0.0604806051581755,0.0
930618.CSI,2020-04-07,1934.4908,20,0.0,0.0,0.1,0.0,0.0,0.0,0.05042050424078171,0.0
930618.CSI,2020-04-08,1920.3832,20,0.1,0.0,0.1,0.0,0.05042050424078171,0.0,0.05042050424078171,0.0
930618.CSI,2020-04-09,1939.5044,20,0.0,0.0,0.05,0.0,0.0,0.0,0.24738247998378546,0.0
930618.CSI,2020-04-10,1943.4127,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-04-13,1926.8466,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-04-14,1958.5598,20,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.015570155951865764
930618.CSI,2020-04-15,1944.9784,20,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.013130130804176497
930618.CSI,2020-04-16,1943.1117,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-04-17,1998.5782,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-04-20,2018.4017,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-04-21,1987.5624,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-04-22,1991.5212,20,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2149621503148313
930618.CSI,2020-04-23,1989.1011,20,0.0,0.0,0.2,0.1,0.0,0.0,0.05550055395918152,0.2149621503148313
930618.CSI,2020-04-24,1946.0392,20,0.0,0.0,0.2,0.0,0.0,0.0,0.05550055395918152,0.0
930618.CSI,2020-04-27,1963.6901,20,0.2,0.0,0.2,0.0,0.05550055395918152,0.0,0.05550055395918152,0.0
930618.CSI,2020-04-28,1978.0946,20,0.0,0.0,0.05,0.0,0.0,0.0,0.013390133630418567,0.0
930618.CSI,2020-04-29,2019.7723,20,0.0,0.0,0.1,0.0,0.0,0.0,0.0308403080007804,0.0
930618.CSI,2020-04-30,2037.7585,20,0.0,0.0,0.05,0.0,0.0,0.0,0.01890037758926187,0.0
930618.CSI,2020-05-06,2027.7809,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-05-07,2013.9868,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-05-08,2011.5563,20,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.01239024725257777
930618.CSI,2020-05-11,2030.1979,20,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.39367787362283624
930618.CSI,2020-05-12,2013.8052,20,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.39367787362283624
930618.CSI,2020-05-13,2010.8145,20,0.0,0.1,0.0,0.25,0.0,0.39367787362283624,0.0,0.43636872735227833
930618.CSI,2020-05-14,1977.2502,20,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.03771075394247752
930618.CSI,2020-05-15,1971.1199,20,0.0,0.05,0.0,0.05,0.0,0.018810376353215648,0.0,0.018810376353215648
930618.CSI,2020-05-18,1959.8236,20,0.0,0.0,0.15,0.0,0.0,0.0,0.27261545705573265,0.0
930618.CSI,2020-05-19,1982.1761,20,0.0,0.0,0.2,0.0,0.0,0.0,0.2850057043083104,0.0
930618.CSI,2020-05-20,1981.7,20,0.05,0.0,0.1,0.0,0.00844016849926101,0.0,0.021680433121277425,0.0
930618.CSI,2020-05-21,1964.2979,20,0.0,0.0,0.1,0.0,0.0,0.0,0.026740534669236815,0.0
930618.CSI,2020-05-22,1913.1165,20,0.05,0.0,0.25,0.0,0.013240264622016416,0.0,0.06276125454000517,0.0
930618.CSI,2020-05-25,1891.5142,20,0.05,0.0,0.25,0.0,0.0135002700472204,0.0,0.06842136750725061,0.0
930618.CSI,2020-05-26,1910.4587,20,0.05,0.0,0.1,0.0,0.010960218606072582,0.0,0.029860596195334453,0.0
930618.CSI,2020-05-27,1907.3792,20,0.05,0.0,0.05,0.0,0.01890037758926187,0.0,0.01890037758926187,0.0
930618.CSI,2020-05-28,1939.6154,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-05-29,1924.383,20,0.0,0.0,0.05,0.0,0.0,0.0,0.012360123143141308,0.0
